file,binary,rep,instructions,task_clock_ms,rc
far_store.a16,postfix,1,10468606,12.83,1
far_store.a8,prefix,1,10477121,12.93,1
far_store.a8,postfix,1,10418266,13.29,1
far_tail.a16,prefix,1,25907734,20.55,0
far_tail.a16,postfix,1,26196780,20.04,0
far_tail.a8,prefix,1,26182485,18.31,0
far_tail.a8,postfix,1,26047948,18.34,0
farcc_bench.a16,prefix,1,12656742,12.94,1
farcc_bench.a16,postfix,1,12611182,14.29,1
farcc_bench.a8,prefix,1,12661325,13.71,1
farcc_bench.a8,postfix,1,12614582,12.99,1
farcc_imag32.a16,prefix,1,12339059,14.04,1
farcc_imag32.a16,postfix,1,12291810,13.11,1
farcc_imag32.a8,prefix,1,12237920,13.53,1
farcc_imag32.a8,postfix,1,12270250,12.77,1
farindex.a16,prefix,1,11147466,12.48,1
farindex.a16,postfix,1,11222098,12.62,1
farindex.a8,prefix,1,11183653,14.30,1
farindex.a8,postfix,1,11142721,12.68,1
farptrcmp-natural.a16,prefix,1,10666408,12.71,1
farptrcmp-natural.a16,postfix,1,10652861,11.91,1
farptrcmp-natural.a8,prefix,1,10639420,13.45,1
farptrcmp-natural.a8,postfix,1,10637570,14.99,1
farspill-probe.a16,prefix,1,17744986,19.12,1
farspill-probe.a16,postfix,1,17769882,16.98,1
farspill-probe.a8,prefix,1,17774656,15.78,1
farspill-probe.a8,postfix,1,17694875,15.19,1
frameabi_a0.a16,prefix,1,13562971,13.79,0
frameabi_a0.a16,postfix,1,13546652,14.01,0
frameabi_a0.a8,prefix,1,13590795,13.68,0
frameabi_a0.a8,postfix,1,13570187,13.67,0
frameabi_heavy.a16,prefix,1,59947037,31.55,0
frameabi_heavy.a16,postfix,1,60099283,32.00,0
frameabi_heavy.a8,prefix,1,59999138,29.85,0
frameabi_heavy.a8,postfix,1,59959165,29.90,0
k_bits.a16,prefix,1,22807547,18.56,0
k_bits.a16,postfix,1,22823406,18.57,0
k_bits.a8,prefix,1,22804049,18.75,0
k_bits.a8,postfix,1,22820197,19.71,0
k_blossom_far.a16,prefix,1,14466875,14.91,1
k_blossom_far.a16,postfix,1,14469466,14.02,1
k_blossom_far.a8,prefix,1,14436848,15.01,1
k_blossom_far.a8,postfix,1,14405636,14.67,1
k_buddha_far.a16,prefix,1,13598145,14.73,1
k_buddha_far.a16,postfix,1,13575294,14.66,1
k_buddha_far.a8,prefix,1,13508378,14.84,1
k_buddha_far.a8,postfix,1,13514937,14.54,1
k_crc16.a16,prefix,1,17747458,25.96,0
k_crc16.a16,postfix,1,17763601,17.79,0
k_crc16.a8,prefix,1,17742720,16.91,0
k_crc16.a8,postfix,1,17766401,16.19,0
k_fxmul.a16,prefix,1,17674053,16.88,0
k_fxmul.a16,postfix,1,17707793,16.22,0
