# gcc c-torture/execute tests that do NOT build a DEFAULT SNES ROM (gcc-14.2.0).
# Generated by tools/torture_filter.py --opt -Os.
# test	reason	diagnostic
930702-1.c	compile-error	vendor/c-torture/execute/930702-1.c:2:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
930713-1.c	compile-error	vendor/c-torture/execute/930713-1.c:16:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
930718-1.c	compile-error	vendor/c-torture/execute/930718-1.c:22:3: error: call to undeclared function '__torture_abort'; ISO C99 and later do not support implicit function declarations [-Wimplici
930719-1.c	compile-error	vendor/c-torture/execute/930719-1.c:4:14: error: parameter 'com' was not declared, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
930818-1.c	compile-error	vendor/c-torture/execute/930818-1.c:5:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
930916-1.c	compile-error	vendor/c-torture/execute/930916-1.c:3:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
930921-1.c	compile-error	vendor/c-torture/execute/930921-1.c:3:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
930929-1.c	compile-error	vendor/c-torture/execute/930929-1.c:3:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
930930-1.c	compile-error	vendor/c-torture/execute/930930-1.c:10:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
931002-1.c	compile-error	vendor/c-torture/execute/931002-1.c:15:5: error: function definition is not allowed here
931009-1.c	compile-error	vendor/c-torture/execute/931009-1.c:2:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
931012-1.c	compile-error	vendor/c-torture/execute/931012-1.c:2:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
931017-1.c	compile-error	vendor/c-torture/execute/931017-1.c:5:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
931018-1.c	compile-error	vendor/c-torture/execute/931018-1.c:6:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
931031-1.c	compile-error	vendor/c-torture/execute/931031-1.c:9:3: error: call to undeclared function '__torture_exit'; ISO C99 and later do not support implicit function declarations [-Wimplicit-
931102-1.c	compile-error	vendor/c-torture/execute/931102-1.c:10:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
931102-2.c	compile-error	vendor/c-torture/execute/931102-2.c:12:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
931208-1.c	compile-error	vendor/c-torture/execute/931208-1.c:2:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
931228-1.c	compile-error	vendor/c-torture/execute/931228-1.c:2:4: error: parameter 'x' was not declared, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
940115-1.c	compile-error	vendor/c-torture/execute/940115-1.c:2:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
940122-1.c	compile-error	vendor/c-torture/execute/940122-1.c:6:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
941014-2.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
941101-1.c	compile-error	vendor/c-torture/execute/941101-1.c:2:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
941110-1.c	compile-error	vendor/c-torture/execute/941110-1.c:3:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
941202-1.c	compile-error	vendor/c-torture/execute/941202-1.c:3:7: error: parameter 'y' was not declared, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
950322-1.c	compile-error	vendor/c-torture/execute/950322-1.c:3:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
950426-1.c	compile-error	vendor/c-torture/execute/950426-1.c:10:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
950512-1.c	compile-error	vendor/c-torture/execute/950512-1.c:4:5: error: parameter 'x' was not declared, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
950605-1.c	compile-error	vendor/c-torture/execute/950605-1.c:3:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
